#N: 3053
#c i v
 2    613 -1.59074e+00 
 2    614 +8.59830e-01 
 2    615 +7.01508e-01 
 2    616 -3.09054e+00 
 2    617 -2.87164e+00 
 2    618 -3.34675e+00 
 2    619 -3.47804e+00 
 2    620 -3.73462e+00 
 2    621 -4.02590e+00 
 2    622 -4.32749e+00 
 2    623 -2.58938e+00 
 2    624 +1.15882e+00 
 2    625 +1.14586e+00 
 2    626 +9.84101e-01 
 2    627 -8.69618e-01 
 2    628 -5.11220e-01 
 2    629 -2.64146e-01 
 2    630 -2.16000e+00 
 2    631 +2.03581e-01 
 2    632 -1.21780e+00 
 2    633 -8.63321e-01 
 2    634 -1.26305e+00 
 2    635 -3.46064e+00 
 2    636 -2.14504e+00 
 2    637 -3.70559e-01 
 2    638 +2.56759e-01 
 2    639 +1.59072e-01 
 2    640 +1.87296e+00 
 2    641 +2.50597e+00 
 2    642 +4.92545e-01 
 2    643 -2.74377e+00 
 2    644 -1.57092e+00 
 2    645 +1.20901e+00 
 2    646 +8.50188e-01 
 2    647 +1.05064e+00 
 2    648 -9.76669e-01 
 2    649 -2.06781e+00 
 2    650 -1.16267e+00 
 2    651 +1.75785e+00 
 2    652 +3.98477e-01 
 2    653 +6.21460e-01 
 2    654 +6.62858e-01 
 2    655 +1.94073e+00 
 2    656 +2.07752e+00 
 2    657 +2.44934e+00 
 2    658 +2.33306e+00 
 2    659 +2.82300e+00 
 2    660 +1.85919e+00 
 2    661 +1.49302e-01 
 2    662 -2.77586e+00 
 2    663 -3.63791e+00 
 2    664 -1.62605e+00 
 2    665 -1.14132e+00 
 2    666 -6.04237e-01 
 2    667 -1.76595e+00 
 2    668 +5.67086e-01 
 2    669 +1.42487e+00 
 2    670 +4.74281e-01 
 2    671 +1.99251e+00 
 2    672 +6.84655e-01 
 2    673 -2.32156e-01 
 2    674 +1.20610e+00 
 2    675 -5.87515e-01 
 2    676 -8.36177e-01 
 2    677 -3.72002e+00 
 2    678 -3.25167e+00 
 2    679 -2.82309e+00 
 2    680 -1.97200e+00 
 2    681 +4.95931e-01 
 2    682 +1.88766e+00 
 2    683 +3.18243e+00 
 2    684 +2.54231e+00 
 2    685 +1.91298e+00 
 2    686 +2.24005e-01 
 2    687 -1.80796e+00 
 2    688 -3.06899e+00 
 2    689 -4.00504e+00 
 2    690 -3.99196e+00 
 2    691 -3.54579e+00 
 2    692          NaN 
 3    693 -2.19482e+00 
 3    694 -4.08050e+00 
 3    695 -4.34786e+00 
 3    696 -3.81602e+00 
 3    697 -2.83876e+00 
 3    698 -1.25988e+00 
 3    699 -3.93043e+00 
 3    700 -3.80904e+00 
 3    701 -3.45367e+00 
 3    702 -6.58586e-01 
 3    703 +1.21926e+00 
 3    704 +2.71098e+00 
 3    705 +1.97667e+00 
 3    706 +3.34402e-01 
 3    707 +2.23111e+00 
 3    708 +4.08688e-01 
 3    709 -1.76685e+00 
 3    710 -1.30634e+00 
 3    711 +2.42036e+00 
 3    712 +2.67952e+00 
 3    713 +5.94770e-01 
 3    714 +2.45468e+00 
 3    715 +1.23297e+00 
 3    716 +2.75653e+00 
 3    717 -1.90760e-01 
 3    718 -2.67694e+00 
 3    719 -1.99570e+00 
 3    720 +1.52111e+00 
 3    721 +4.83437e-01 
 3    722 +1.20681e+00 
 3    723 +1.43472e+00 
 3    724 +2.22126e+00 
 3    725 +3.21251e+00 
 3    726 +1.30341e+00 
 3    727 +7.94948e-01 
 3    728 +1.05785e+00 
 3    729 +1.77405e+00 
 3    730 +3.32093e-01 
 3    731 -6.05841e-01 
 3    732 -3.44969e+00 
 3    733 -3.54984e+00 
 3    734 -3.26681e+00 
 3    735 -9.15008e-01 
 3    736 +1.51794e+00 
 3    737 +2.06401e+00 
 3    738 +2.81144e+00 
 3    739 +2.69631e+00 
 3    740 -9.51853e-02 
 3    741 -2.55957e+00 
 3    742 +9.72830e-01 
 3    743          NaN 
 3    744          NaN 
 3    745 +2.92568e-01 
 3    746 -9.62217e-01 
 3    747 -1.84899e+00 
 3    748 -3.67942e-01 
 3    749 -2.33391e+00 
 3    750 -3.10687e+00 
 3    751 +1.38358e+00 
 3    752 +1.75907e+00 
 3    753 +1.97108e+00 
 3    754 +2.62242e-01 
 3    755 -1.50272e+00 
 3    756 +4.91466e-01 
 3    757 +2.46045e+00 
 3    758 +1.86086e+00 
 3    759 +5.11851e-01 
 3    760 +5.83110e-01 
 3    761 +1.32471e+00 
 3    762 +1.94165e+00 
 3    763 +2.56450e+00 
 3    764 +8.30345e-01 
 3    765 +2.74245e+00 
 3    766 +1.65471e+00 
 3    767 +1.16215e+00 
 3    768 +1.72712e+00 
 3    769 -1.50023e+00 
 3    770 -2.97548e+00 
 3    771 -2.65608e-01 
 3    772 +7.99061e-01 
 3    773 +2.61466e+00 
 3    774 +1.69585e+00 
 3    775 +1.42573e+00 
 3    776 -2.86346e+00 
 3    777 -2.59571e+00 
 3    778 -1.41992e+00 
 3    779 +1.28454e+00 
 3    780 -1.05289e+00 
 3    781 -1.65916e+00 
 3    782 -2.48822e+00 
 3    783 -1.78907e+00 
 3    784 +3.52237e-01 
 3    785 +2.79890e+00 
 3    786 +2.65503e+00 
 3    787 +9.89721e-01 
 3    788 -1.71995e+00 
 3    789 -1.42421e-01 
 3    790 +7.91915e-01 
 3    791 +1.41059e-01 
 3    792 -1.01851e+00 
 3    793 +9.82857e-01 
